Shipping_Mode,Delivery_Status,Late_delivery_risk,Days_for_shipping_(real),Days_for_shipment_(scheduled),shipping_date_(DateOrders),Shipping_Date_Key,Shipping_Id
Standard Class,Late delivery,1,5,4,2015-03-18 18:59:00,20150318,89
Standard Class,Late delivery,1,6,4,2017-02-13 09:47:00,20170213,90
Standard Class,Shipping on time,0,4,4,2015-04-07 19:08:00,20150407,91
Standard Class,Advance shipping,0,2,4,2017-04-15 14:25:00,20170415,92
Standard Class,Late delivery,1,6,4,2015-04-08 03:33:00,20150408,93
Standard Class,Advance shipping,0,2,4,2017-02-02 11:43:00,20170202,94
Standard Class,Advance shipping,0,3,4,2017-04-02 23:12:00,20170402,95
Standard Class,Late delivery,1,5,4,2017-03-30 23:02:00,20170330,96
Standard Class,Shipping on time,0,4,4,2017-02-09 01:01:00,20170209,97
Standard Class,Advance shipping,0,3,4,2017-04-18 14:04:00,20170418,98
Standard Class,Advance shipping,0,3,4,2015-02-18 18:40:00,20150218,99
Standard Class,Advance shipping,0,3,4,2017-05-30 16:48:00,20170530,100
Standard Class,Shipping on time,0,4,4,2015-03-01 20:46:00,20150301,101
Standard Class,Advance shipping,0,2,4,2017-06-02 11:33:00,20170602,102
Standard Class,Shipping on time,0,4,4,2015-01-19 04:32:00,20150119,103
Standard Class,Late delivery,1,5,4,2017-05-01 15:16:00,20170501,104
Standard Class,Late delivery,1,6,4,2017-03-13 19:12:00,20170313,105
Standard Class,Shipping on time,0,4,4,2017-04-24 18:47:00,20170424,106
Standard Class,Late delivery,1,5,4,2017-03-08 06:14:00,20170308,107
Standard Class,Shipping on time,0,4,4,2017-06-08 16:06:00,20170608,108
Standard Class,Advance shipping,0,3,4,2017-05-19 21:33:00,20170519,109
Standard Class,Advance shipping,0,3,4,2015-05-30 01:32:00,20150530,110
Standard Class,Late delivery,1,5,4,2017-04-02 05:20:00,20170402,111
Standard Class,Late delivery,1,6,4,2017-05-08 03:00:00,20170508,112
Standard Class,Shipping on time,0,4,4,2017-04-07 23:53:00,20170407,113
Standard Class,Advance shipping,0,2,4,2015-05-02 23:49:00,20150502,114
Standard Class,Late delivery,1,5,4,2017-05-02 03:32:00,20170502,115
Standard Class,Shipping on time,0,4,4,2015-02-06 03:27:00,20150206,116
Standard Class,Late delivery,1,5,4,2017-02-18 16:05:00,20170218,117
Standard Class,Advance shipping,0,2,4,2017-05-29 23:28:00,20170529,118
Standard Class,Late delivery,1,5,4,2017-03-24 19:53:00,20170324,119
Standard Class,Shipping on time,0,4,4,2015-05-11 15:56:00,20150511,120
Standard Class,Late delivery,1,6,4,2015-05-03 11:23:00,20150503,121
Standard Class,Late delivery,1,6,4,2017-04-20 18:06:00,20170420,122
Standard Class,Advance shipping,0,2,4,2015-05-09 01:13:00,20150509,123
Standard Class,Advance shipping,0,3,4,2017-06-15 05:55:00,20170615,124
Standard Class,Advance shipping,0,2,4,2017-03-28 15:30:00,20170328,125
Standard Class,Advance shipping,0,2,4,2017-02-19 11:52:00,20170219,126
Standard Class,Late delivery,1,6,4,2017-01-31 01:13:00,20170131,127
Standard Class,Advance shipping,0,3,4,2017-02-09 06:27:00,20170209,128
Standard Class,Late delivery,1,5,4,2017-05-27 06:08:00,20170527,129
Standard Class,Late delivery,1,5,4,2017-02-26 01:00:00,20170226,130
Standard Class,Late delivery,1,5,4,2015-01-11 19:26:00,20150111,131
Second Class,Late delivery,1,6,2,2017-01-21 04:44:00,20170121,132
Second Class,Late delivery,1,6,2,2016-11-03 19:23:00,20161103,133
Second Class,Late delivery,1,3,2,2016-09-22 13:39:00,20160922,134
Second Class,Late delivery,1,5,2,2016-08-30 22:16:00,20160830,135
Second Class,Late delivery,1,4,2,2016-10-11 23:26:00,20161011,136
Second Class,Late delivery,1,4,2,2016-11-07 21:49:00,20161107,137
Second Class,Late delivery,1,3,2,2017-11-06 13:05:00,20171106,138
Second Class,Late delivery,1,4,2,2017-10-18 11:42:00,20171018,139
Second Class,Late delivery,1,3,2,2017-11-07 01:21:00,20171107,140
Second Class,Late delivery,1,6,2,2017-10-22 01:12:00,20171022,141
Second Class,Late delivery,1,3,2,2017-11-06 18:20:00,20171106,142
Second Class,Late delivery,1,6,2,2017-10-19 03:08:00,20171019,143
Second Class,Late delivery,1,6,2,2017-11-08 10:06:00,20171108,144
Second Class,Late delivery,1,5,2,2017-11-03 12:55:00,20171103,145
Second Class,Shipping on time,0,2,2,2017-10-15 08:44:00,20171015,146
Second Class,Late delivery,1,3,2,2017-10-14 06:17:00,20171014,147
Second Class,Late delivery,1,5,2,2017-11-04 01:10:00,20171104,148
Second Class,Late delivery,1,4,2,2017-10-17 14:41:00,20171017,149
Second Class,Shipping on time,0,2,2,2017-11-05 03:58:00,20171105,150
Second Class,Late delivery,1,4,2,2017-10-14 04:21:00,20171014,151
Second Class,Late delivery,1,4,2,2017-11-08 05:12:00,20171108,152
Second Class,Late delivery,1,5,2,2017-10-31 14:51:00,20171031,153
Second Class,Shipping on time,0,2,2,2017-10-15 13:59:00,20171015,154
Second Class,Late delivery,1,6,2,2017-11-07 20:05:00,20171107,155
Second Class,Late delivery,1,4,2,2017-10-21 11:32:00,20171021,156
Second Class,Late delivery,1,3,2,2017-11-04 19:02:00,20171104,157
Second Class,Late delivery,1,3,2,2017-10-16 12:35:00,20171016,158
Second Class,Late delivery,1,6,2,2017-11-07 18:20:00,20171107,159
Second Class,Late delivery,1,5,2,2017-11-06 05:44:00,20171106,160
Second Class,Late delivery,1,5,2,2017-11-07 13:15:00,20171107,161
Second Class,Late delivery,1,4,2,2017-10-17 18:11:00,20171017,162
Second Class,Late delivery,1,3,2,2017-10-14 22:03:00,20171014,163
Second Class,Late delivery,1,6,2,2017-11-09 14:08:00,20171109,164
Second Class,Late delivery,1,5,2,2017-10-31 18:21:00,20171031,165
Second Class,Shipping on time,0,2,2,2017-10-13 02:26:00,20171013,166
Second Class,Late delivery,1,5,2,2017-10-07 11:01:00,20171007,167
Second Class,Late delivery,1,5,2,2017-09-13 03:42:00,20170913,168
Second Class,Late delivery,1,6,2,2015-09-23 23:17:00,20150923,169
Second Class,Late delivery,1,4,2,2015-10-06 07:40:00,20151006,170
Second Class,Late delivery,1,5,2,2017-08-13 10:13:00,20170813,171
Second Class,Late delivery,1,4,2,2015-08-21 18:35:00,20150821,172
Second Class,Late delivery,1,4,2,2015-09-27 09:57:00,20150927,173
Second Class,Late delivery,1,5,2,2015-10-28 08:31:00,20151028,174
Second Class,Late delivery,1,5,2,2015-07-16 18:49:00,20150716,175
Standard Class,Shipping canceled,0,5,4,2016-05-13 17:42:00,20160513,176
Standard Class,Shipping canceled,0,5,4,2016-04-07 19:51:00,20160407,177
Standard Class,Shipping canceled,0,6,4,2016-08-20 02:51:00,20160820,178
Standard Class,Shipping canceled,0,2,4,2016-05-20 16:38:00,20160520,179
Standard Class,Shipping canceled,0,3,4,2016-05-08 13:40:00,20160508,180
Standard Class,Shipping canceled,0,3,4,2016-04-24 02:50:00,20160424,181
Standard Class,Shipping canceled,0,2,4,2016-07-03 08:10:00,20160703,182
Standard Class,Shipping canceled,0,6,4,2016-12-23 08:48:00,20161223,183
Standard Class,Shipping canceled,0,4,4,2016-09-03 14:02:00,20160903,184
Standard Class,Shipping canceled,0,2,4,2016-07-29 06:01:00,20160729,185
Standard Class,Shipping canceled,0,4,4,2016-07-21 10:14:00,20160721,186
Standard Class,Shipping canceled,0,6,4,2016-07-12 10:26:00,20160712,187
Standard Class,Shipping canceled,0,2,4,2016-09-11 22:05:00,20160911,188
Standard Class,Shipping canceled,0,6,4,2016-09-01 12:38:00,20160901,189
Standard Class,Shipping canceled,0,4,4,2017-01-20 22:04:00,20170120,190
Standard Class,Shipping canceled,0,5,4,2016-10-03 10:19:00,20161003,191
Standard Class,Shipping canceled,0,2,4,2016-09-05 15:26:00,20160905,192
Standard Class,Advance shipping,0,2,4,2016-09-18 01:13:00,20160918,193
Standard Class,Shipping on time,0,4,4,2016-10-24 03:59:00,20161024,194
Standard Class,Late delivery,1,5,4,2017-01-12 00:11:00,20170112,195
Standard Class,Late delivery,1,5,4,2016-10-15 06:06:00,20161015,196
Standard Class,Advance shipping,0,2,4,2016-09-08 13:30:00,20160908,197
Standard Class,Late delivery,1,5,4,2017-01-11 01:25:00,20170111,198
Standard Class,Late delivery,1,6,4,2017-01-03 07:33:00,20170103,199
Standard Class,Late delivery,1,5,4,2016-08-30 18:46:00,20160830,200
Standard Class,Shipping on time,0,4,4,2016-09-09 10:10:00,20160909,201
Standard Class,Late delivery,1,5,4,2016-12-03 09:00:00,20161203,202
Standard Class,Advance shipping,0,3,4,2016-09-05 13:30:00,20160905,203
Standard Class,Shipping on time,0,4,4,2016-11-23 21:27:00,20161123,204
Standard Class,Advance shipping,0,2,4,2016-09-16 05:26:00,20160916,205
Standard Class,Late delivery,1,5,4,2016-11-10 09:13:00,20161110,206
Standard Class,Shipping on time,0,4,4,2016-12-12 12:08:00,20161212,207
Standard Class,Late delivery,1,5,4,2017-01-19 14:22:00,20170119,208
Standard Class,Late delivery,1,5,4,2016-11-10 19:43:00,20161110,209
Standard Class,Advance shipping,0,3,4,2016-09-20 23:07:00,20160920,210
Standard Class,Advance shipping,0,3,4,2016-11-17 13:14:00,20161117,211
Standard Class,Late delivery,1,5,4,2016-12-16 15:49:00,20161216,212
Standard Class,Advance shipping,0,2,4,2016-11-10 13:14:00,20161110,213
Standard Class,Shipping on time,0,4,4,2016-11-26 02:00:00,20161126,214
Standard Class,Advance shipping,0,2,4,2016-09-02 12:06:00,20160902,215
Standard Class,Advance shipping,0,2,4,2016-09-05 13:41:00,20160905,216
Standard Class,Shipping on time,0,4,4,2016-02-20 04:09:00,20160220,217
Standard Class,Advance shipping,0,3,4,2016-01-03 19:27:00,20160103,218
Standard Class,Advance shipping,0,2,4,2016-03-28 08:07:00,20160328,219
Standard Class,Late delivery,1,5,4,2016-01-07 00:11:00,20160107,220
Standard Class,Late delivery,1,6,4,2018-02-02 02:38:00,20180202,221
Standard Class,Shipping on time,0,4,4,2016-01-07 07:22:00,20160107,222
Standard Class,Advance shipping,0,2,4,2016-02-16 05:54:00,20160216,223
Standard Class,Late delivery,1,5,4,2015-12-03 01:06:00,20151203,224
Standard Class,Late delivery,1,6,4,2015-12-17 15:17:00,20151217,225
Standard Class,Shipping on time,0,4,4,2016-09-21 04:12:00,20160921,226
Standard Class,Shipping on time,0,4,4,2016-12-16 01:59:00,20161216,227
Standard Class,Shipping on time,0,4,4,2016-11-01 15:11:00,20161101,228
Standard Class,Advance shipping,0,2,4,2017-12-29 20:01:00,20171229,229
Standard Class,Shipping on time,0,4,4,2016-02-16 12:34:00,20160216,230
Standard Class,Advance shipping,0,3,4,2016-03-18 07:58:00,20160318,231
Standard Class,Advance shipping,0,2,4,2016-03-30 00:25:00,20160330,232
Standard Class,Shipping on time,0,4,4,2016-03-18 20:03:00,20160318,233
Standard Class,Late delivery,1,5,4,2015-11-23 09:53:00,20151123,234
Standard Class,Late delivery,1,6,4,2015-12-26 16:29:00,20151226,235
Standard Class,Shipping on time,0,4,4,2016-09-14 05:47:00,20160914,236
Standard Class,Late delivery,1,5,4,2016-09-12 01:04:00,20160912,237
Standard Class,Advance shipping,0,3,4,2015-11-14 03:45:00,20151114,238
Standard Class,Advance shipping,0,3,4,2015-12-16 22:17:00,20151216,239
Standard Class,Shipping on time,0,4,4,2016-01-11 05:57:00,20160111,240
Standard Class,Shipping on time,0,4,4,2017-12-18 15:39:00,20171218,241
Standard Class,Late delivery,1,6,4,2016-03-21 03:45:00,20160321,242
Standard Class,Advance shipping,0,3,4,2016-03-19 10:14:00,20160319,243
Standard Class,Shipping on time,0,4,4,2016-02-10 02:25:00,20160210,244
Standard Class,Advance shipping,0,2,4,2018-01-30 15:46:00,20180130,245
Standard Class,Shipping on time,0,4,4,2015-12-22 05:59:00,20151222,246
Standard Class,Late delivery,1,5,4,2017-01-22 12:26:00,20170122,247
Standard Class,Late delivery,1,5,4,2017-12-18 20:44:00,20171218,248
Standard Class,Shipping on time,0,4,4,2017-12-30 18:26:00,20171230,249
Standard Class,Advance shipping,0,2,4,2016-01-29 12:14:00,20160129,250
Standard Class,Advance shipping,0,3,4,2018-02-02 11:54:00,20180202,251
Standard Class,Shipping on time,0,4,4,2016-09-03 08:47:00,20160903,252
Standard Class,Late delivery,1,5,4,2016-11-22 04:59:00,20161122,253
Standard Class,Advance shipping,0,2,4,2016-12-31 15:26:00,20161231,254
Standard Class,Advance shipping,0,2,4,2016-03-12 04:59:00,20160312,255
Standard Class,Shipping on time,0,4,4,2017-11-28 19:11:00,20171128,256
Standard Class,Shipping on time,0,4,4,2016-12-14 13:11:00,20161214,257
Standard Class,Advance shipping,0,2,4,2016-10-28 06:25:00,20161028,258
Standard Class,Advance shipping,0,3,4,2016-10-22 06:36:00,20161022,259
Standard Class,Shipping on time,0,4,4,2016-11-10 23:24:00,20161110,260
Standard Class,Late delivery,1,6,4,2016-10-05 16:27:00,20161005,261
Standard Class,Shipping on time,0,4,4,2016-09-07 12:38:00,20160907,262
Standard Class,Late delivery,1,5,4,2016-11-12 10:15:00,20161112,263
Standard Class,Advance shipping,0,3,4,2016-11-15 05:10:00,20161115,264
Standard Class,Advance shipping,0,3,4,2016-11-29 12:30:00,20161129,265
Standard Class,Late delivery,1,6,4,2016-12-15 22:07:00,20161215,266
Standard Class,Late delivery,1,5,4,2016-10-07 15:55:00,20161007,267
Standard Class,Shipping on time,0,4,4,2016-10-24 21:30:00,20161024,268
Standard Class,Late delivery,1,6,4,2016-10-12 14:51:00,20161012,269
Standard Class,Late delivery,1,5,4,2016-12-24 09:30:00,20161224,270
Standard Class,Late delivery,1,6,4,2016-09-08 12:48:00,20160908,271
Standard Class,Late delivery,1,5,4,2016-10-16 15:22:00,20161016,272
Standard Class,Advance shipping,0,2,4,2016-10-13 12:34:00,20161013,273
Standard Class,Late delivery,1,5,4,2016-11-01 00:59:00,20161101,274
Standard Class,Late delivery,1,5,4,2016-10-10 08:44:00,20161010,275
Standard Class,Advance shipping,0,3,4,2016-12-31 18:46:00,20161231,276
Standard Class,Advance shipping,0,2,4,2016-09-03 23:08:00,20160903,277
Standard Class,Advance shipping,0,3,4,2016-12-05 06:54:00,20161205,278
Standard Class,Advance shipping,0,2,4,2016-10-10 16:15:00,20161010,279
Standard Class,Advance shipping,0,2,4,2016-09-01 02:49:00,20160901,280
Standard Class,Advance shipping,0,2,4,2016-10-20 14:29:00,20161020,281
Standard Class,Late delivery,1,6,4,2016-09-04 10:42:00,20160904,282
Standard Class,Late delivery,1,6,4,2017-01-04 13:20:00,20170104,283
Standard Class,Late delivery,1,6,4,2015-10-19 22:53:00,20151019,284
Standard Class,Late delivery,1,6,4,2016-10-05 04:11:00,20161005,285
Standard Class,Advance shipping,0,3,4,2015-08-13 21:35:00,20150813,286
Standard Class,Advance shipping,0,3,4,2015-08-17 16:40:00,20150817,287
Standard Class,Late delivery,1,6,4,2015-08-16 05:07:00,20150816,288
Standard Class,Advance shipping,0,2,4,2017-07-31 19:42:00,20170731,289
Standard Class,Shipping on time,0,4,4,2017-09-09 10:32:00,20170909,290
Standard Class,Advance shipping,0,2,4,2017-06-30 22:43:00,20170630,291
Standard Class,Late delivery,1,5,4,2015-06-20 10:27:00,20150620,292
Standard Class,Late delivery,1,6,4,2017-07-12 23:03:00,20170712,293
Standard Class,Shipping on time,0,4,4,2017-09-09 00:02:00,20170909,294
Standard Class,Advance shipping,0,3,4,2016-11-20 02:32:00,20161120,295
Standard Class,Late delivery,1,6,4,2017-07-21 03:15:00,20170721,296
Standard Class,Advance shipping,0,2,4,2017-09-15 07:01:00,20170915,297
Standard Class,Late delivery,1,5,4,2015-10-08 15:33:00,20151008,298
Standard Class,Late delivery,1,6,4,2015-10-09 01:53:00,20151009,299
Standard Class,Late delivery,1,5,4,2017-09-07 21:35:00,20170907,300
Standard Class,Late delivery,1,6,4,2016-11-22 10:04:00,20161122,301
Standard Class,Advance shipping,0,3,4,2017-03-16 21:18:00,20170316,302
Standard Class,Late delivery,1,6,4,2017-06-07 08:13:00,20170607,303
Standard Class,Advance shipping,0,2,4,2017-02-23 05:12:00,20170223,304
Standard Class,Shipping on time,0,4,4,2017-04-10 11:27:00,20170410,305
Standard Class,Late delivery,1,6,4,2017-02-02 02:16:00,20170202,306
Standard Class,Advance shipping,0,3,4,2015-02-15 20:36:00,20150215,307
Standard Class,Advance shipping,0,2,4,2017-03-07 18:30:00,20170307,308
Standard Class,Shipping on time,0,4,4,2017-05-09 17:53:00,20170509,309
Standard Class,Advance shipping,0,2,4,2015-04-21 04:03:00,20150421,310
Standard Class,Shipping on time,0,4,4,2015-03-24 01:17:00,20150324,311
Standard Class,Advance shipping,0,3,4,2017-05-25 01:56:00,20170525,312
Standard Class,Shipping on time,0,4,4,2017-05-22 12:26:00,20170522,313
Standard Class,Late delivery,1,5,4,2015-02-25 11:29:00,20150225,314
Standard Class,Late delivery,1,6,4,2015-05-10 15:04:00,20150510,315
Standard Class,Late delivery,1,6,4,2017-02-25 07:19:00,20170225,316
Standard Class,Late delivery,1,5,4,2015-02-04 09:14:00,20150204,317
Standard Class,Late delivery,1,5,4,2017-03-31 23:33:00,20170331,318
Standard Class,Advance shipping,0,3,4,2017-02-09 13:27:00,20170209,319
Standard Class,Advance shipping,0,3,4,2017-04-03 16:43:00,20170403,320
Standard Class,Late delivery,1,5,4,2017-04-29 03:43:00,20170429,321
Standard Class,Advance shipping,0,3,4,2017-04-03 14:58:00,20170403,322
Standard Class,Shipping on time,0,4,4,2015-04-01 00:13:00,20150401,323
Standard Class,Shipping on time,0,4,4,2015-03-26 16:21:00,20150326,324
Standard Class,Advance shipping,0,3,4,2015-01-09 08:13:00,20150109,325
Standard Class,Shipping on time,0,4,4,2017-02-07 05:14:00,20170207,326
Standard Class,Late delivery,1,5,4,2015-02-01 00:39:00,20150201,327
Standard Class,Advance shipping,0,3,4,2017-06-02 11:22:00,20170602,328
Standard Class,Advance shipping,0,2,4,2015-04-11 21:35:00,20150411,329
Standard Class,Advance shipping,0,3,4,2015-03-10 11:38:00,20150310,330
Standard Class,Advance shipping,0,2,4,2015-05-24 07:20:00,20150524,331
Standard Class,Shipping on time,0,4,4,2017-06-11 12:25:00,20170611,332
Standard Class,Advance shipping,0,2,4,2017-02-18 00:50:00,20170218,333
Standard Class,Advance shipping,0,2,4,2017-02-08 20:07:00,20170208,334
Standard Class,Late delivery,1,6,4,2015-03-16 00:15:00,20150316,335
Standard Class,Late delivery,1,5,4,2015-02-26 15:31:00,20150226,336
Standard Class,Shipping on time,0,4,4,2017-03-10 09:13:00,20170310,337
Standard Class,Late delivery,1,5,4,2017-02-11 01:54:00,20170211,338
Standard Class,Advance shipping,0,2,4,2017-06-02 02:47:00,20170602,339
Standard Class,Advance shipping,0,3,4,2015-03-28 08:49:00,20150328,340
Standard Class,Late delivery,1,5,4,2015-05-21 21:00:00,20150521,341
Standard Class,Late delivery,1,6,4,2015-05-05 03:41:00,20150505,342
Standard Class,Advance shipping,0,3,4,2018-01-15 19:59:00,20180115,343
Standard Class,Advance shipping,0,2,4,2018-01-14 19:38:00,20180114,344
Second Class,Late delivery,1,6,2,2018-01-18 19:17:00,20180118,345
Standard Class,Late delivery,1,5,4,2018-01-17 18:56:00,20180117,346
Standard Class,Shipping on time,0,4,4,2018-01-16 18:35:00,20180116,347
Standard Class,Advance shipping,0,3,4,2018-01-15 18:14:00,20180115,348
Standard Class,Shipping canceled,0,2,4,2018-01-14 17:53:00,20180114,349
Second Class,Late delivery,1,6,2,2018-01-18 17:32:00,20180118,350
Standard Class,Late delivery,1,5,4,2018-01-17 17:11:00,20180117,351
First Class,Late delivery,1,2,1,2018-01-14 16:50:00,20180114,352
Standard Class,Advance shipping,0,3,4,2018-01-15 16:29:00,20180115,353
Standard Class,Advance shipping,0,2,4,2018-01-14 16:08:00,20180114,354
Standard Class,Late delivery,1,6,4,2018-01-18 15:47:00,20180118,355
Standard Class,Late delivery,1,5,4,2018-01-17 15:26:00,20180117,356
Standard Class,Shipping on time,0,4,4,2018-01-16 15:05:00,20180116,357
Standard Class,Advance shipping,0,3,4,2018-01-15 14:44:00,20180115,358
Standard Class,Advance shipping,0,2,4,2018-01-14 14:23:00,20180114,359
Second Class,Late delivery,1,6,2,2018-01-18 14:02:00,20180118,360
Standard Class,Late delivery,1,5,4,2018-01-17 13:41:00,20180117,361
Standard Class,Shipping on time,0,4,4,2018-01-16 13:20:00,20180116,362
Standard Class,Advance shipping,0,3,4,2018-01-15 12:59:00,20180115,363
First Class,Late delivery,1,2,1,2018-01-14 12:38:00,20180114,364
First Class,Late delivery,1,2,1,2018-01-14 12:17:00,20180114,365
First Class,Late delivery,1,2,1,2018-01-14 11:56:00,20180114,366
First Class,Late delivery,1,2,1,2018-01-14 11:35:00,20180114,367
Same Day,Shipping on time,0,0,0,2018-01-12 23:14:00,20180112,368
Same Day,Shipping on time,0,0,0,2018-01-12 22:53:00,20180112,369
Same Day,Shipping on time,0,0,0,2018-01-12 22:32:00,20180112,370
Standard Class,Late delivery,1,5,4,2018-01-17 10:11:00,20180117,371
Standard Class,Shipping on time,0,4,4,2018-01-16 09:50:00,20180116,372
